timestamp,service_name,breaching_metric,cpu_percent_avg5,memory_percent_avg5,http_5xx_rate_avg5,db_conn_pool_wait_avg5,request_latency_p99_avg5,incident_signature,incident_id
2026-03-28T13:00:00+00:00,inventory-api,http_5xx_rate,82.51,78.31,28.8,303.0,2084.97,cascade_failure,INC-3302
2026-03-24T09:00:00+00:00,notification-svc,request_latency_p99,86.05,65.74,33.65,77.73,1851.01,cpu_saturation_burst,INC-2191
2026-03-27T10:00:00+00:00,notification-svc,cpu_percent,96.47,67.51,35.06,124.01,2423.0,cascade_failure,INC-3318
2026-03-26T06:00:00+00:00,inventory-api,http_5xx_rate,16.36,37.55,26.26,282.67,646.28,db_pool_exhaustion,INC-0252
2026-03-27T22:00:00+00:00,auth-service,cpu_percent,24.92,36.01,1.9,3.17,110.28,normal_noisy,INC-5006
2026-04-03T19:00:00+00:00,order-service,cpu_percent,89.43,21.98,17.46,52.12,2419.42,cpu_saturation_burst,INC-2118
2026-03-09T08:00:00+00:00,payment-api,http_5xx_rate,94.94,67.86,33.9,78.46,776.14,cpu_saturation_burst,INC-2412
2026-03-11T15:00:00+00:00,payment-api,http_5xx_rate,18.32,45.35,47.71,36.27,2751.48,network_partition,INC-4114
2026-03-31T14:00:00+00:00,order-service,request_latency_p99,54.14,44.96,16.15,261.12,609.7,db_pool_exhaustion,INC-0409
2026-03-16T22:00:00+00:00,inventory-api,http_5xx_rate,34.68,17.93,1.99,2.08,122.45,normal_noisy,INC-5080
2026-03-25T11:00:00+00:00,inventory-api,request_latency_p99,9.95,40.13,51.97,25.95,1122.34,network_partition,INC-4255
2026-03-12T04:00:00+00:00,inventory-api,request_latency_p99,44.3,30.49,16.36,347.06,1025.4,db_pool_exhaustion,INC-0053
2026-04-06T13:00:00+00:00,payment-api,cpu_percent,59.07,77.66,5.68,41.66,727.3,memory_leak_progressive,INC-1145
2026-03-14T11:00:00+00:00,auth-service,cpu_percent,76.32,66.7,28.43,319.64,2054.81,cascade_failure,INC-3264
2026-03-20T09:00:00+00:00,inventory-api,memory_percent,21.16,34.82,1.24,9.08,129.93,normal_noisy,INC-5277
2026-04-01T09:00:00+00:00,payment-api,memory_percent,36.99,85.02,0.02,57.07,439.26,memory_leak_progressive,INC-1401
2026-03-31T23:00:00+00:00,auth-service,http_5xx_rate,92.74,47.45,1.37,14.97,78.29,cpu_saturation_burst,INC-2074
2026-03-28T06:00:00+00:00,notification-svc,http_5xx_rate,21.26,43.2,16.77,421.47,680.08,db_pool_exhaustion,INC-0473
2026-04-01T19:00:00+00:00,notification-svc,cpu_percent,42.54,52.79,1.53,2.6,95.21,normal_noisy,INC-5239
2026-04-03T05:00:00+00:00,payment-api,memory_percent,10.26,61.23,0.5,10.23,110.97,normal_noisy,INC-5047
2026-04-02T04:00:00+00:00,inventory-api,request_latency_p99,53.04,35.28,20.36,373.7,295.1,db_pool_exhaustion,INC-0045
2026-03-25T17:00:00+00:00,inventory-api,db_conn_pool_wait_ms,22.87,50.11,8.8,304.44,551.93,db_pool_exhaustion,INC-0290
2026-04-02T14:00:00+00:00,order-service,cpu_percent,40.53,82.48,6.42,41.14,230.8,memory_leak_progressive,INC-1413
2026-03-15T22:00:00+00:00,inventory-api,request_latency_p99,36.42,68.8,27.7,54.09,2594.79,network_partition,INC-4084
2026-03-24T05:00:00+00:00,inventory-api,http_5xx_rate,86.25,67.13,25.83,77.02,1345.99,cpu_saturation_burst,INC-2361
2026-03-26T18:00:00+00:00,payment-api,memory_percent,40.64,37.54,1.9,3.52,59.42,normal_noisy,INC-5396
